6471.350098	0.234302
6471.529785	0.234350
6471.709961	0.234398
6471.890137	0.234447
6472.069824	0.234496
6472.250000	0.234545
6472.430176	0.234595
6472.609863	0.234644
6472.790039	0.234694
6472.970215	0.234745
6473.149902	0.234795
6473.330078	0.234846
6473.509766	0.234897
6473.689941	0.234949
6473.870117	0.235001
6474.049805	0.235053
6474.229980	0.235106
6474.410156	0.235159
6474.589844	0.235212
6474.770020	0.235265
6474.950195	0.235319
6475.129883	0.235373
6475.310059	0.235428
6475.490234	0.235483
6475.669922	0.235538
6475.850098	0.235594
6476.029785	0.235649
6476.209961	0.235706
6476.390137	0.235762
6476.569824	0.235819
6476.750000	0.235876
6476.930176	0.235934
6477.109863	0.235992
6477.290039	0.236051
6477.470215	0.236109
6477.649902	0.236168
6477.830078	0.236228
6478.009766	0.236288
6478.189941	0.236348
6478.370117	0.236409
6478.549805	0.236470
6478.729980	0.236531
6478.910156	0.236593
6479.089844	0.236655
6479.270020	0.236718
6479.450195	0.236781
6479.629883	0.236845
6479.810059	0.236909
6479.990234	0.236973
6480.169922	0.237038
6480.350098	0.237103
6480.529785	0.237168
6480.709961	0.237234
6480.890137	0.237301
6481.069824	0.237368
6481.250000	0.237435
6481.430176	0.237503
6481.609863	0.237571
6481.790039	0.237640
6481.970215	0.237709
6482.149902	0.237779
6482.330078	0.237849
6482.509766	0.237919
6482.689941	0.237990
6482.870117	0.238062
6483.049805	0.238134
6483.229980	0.238207
6483.410156	0.238280
6483.589844	0.238353
6483.770020	0.238427
6483.950195	0.238502
6484.129883	0.238577
6484.310059	0.238652
6484.490234	0.238728
6484.669922	0.238805
6484.850098	0.238882
6485.029785	0.238960
6485.209961	0.239038
6485.390137	0.239117
6485.569824	0.239196
6485.750000	0.239276
6485.930176	0.239356
6486.109863	0.239437
6486.290039	0.239519
6486.470215	0.239601
6486.649902	0.239684
6486.830078	0.239767
6487.009766	0.239851
6487.189941	0.239936
6487.370117	0.240021
6487.549805	0.240107
6487.729980	0.240193
6487.910156	0.240280
6488.089844	0.240368
6488.270020	0.240456
6488.450195	0.240545
6488.629883	0.240634
6488.810059	0.240725
6488.990234	0.240816
6489.169922	0.240907
6489.350098	0.241000
6489.529785	0.241092
6489.709961	0.241186
6489.890137	0.241280
6490.069824	0.241375
6490.250000	0.241471
6490.430176	0.241568
6490.609863	0.241665
6490.790039	0.241763
6490.970215	0.241861
6491.149902	0.241961
6491.330078	0.242061
6491.509766	0.242162
6491.689941	0.242263
6491.870117	0.242366
6492.049805	0.242469
6492.229980	0.242573
6492.410156	0.242678
6492.589844	0.242783
6492.770020	0.242890
6492.950195	0.242997
6493.129883	0.243105
6493.310059	0.243214
6493.490234	0.243324
6493.669922	0.243435
6493.850098	0.243546
6494.029785	0.243659
6494.209961	0.243772
6494.390137	0.243886
6494.569824	0.244001
6494.750000	0.244118
6494.930176	0.244235
6495.109863	0.244352
6495.290039	0.244471
6495.470215	0.244591
6495.649902	0.244712
6495.830078	0.244834
6496.009766	0.244956
6496.189941	0.245080
6496.370117	0.245205
6496.549805	0.245331
6496.729980	0.245458
6496.910156	0.245585
6497.089844	0.245714
6497.270020	0.245844
6497.450195	0.245975
6497.629883	0.246107
6497.810059	0.246241
6497.990234	0.246375
6498.169922	0.246511
6498.350098	0.246647
6498.529785	0.246785
6498.709961	0.246924
6498.890137	0.247064
6499.069824	0.247205
6499.250000	0.247348
6499.430176	0.247492
6499.609863	0.247637
6499.790039	0.247783
6499.970215	0.247931
6500.149902	0.248079
6500.330078	0.248229
6500.509766	0.248380
6500.689941	0.248533
6500.870117	0.248687
6501.049805	0.248842
6501.229980	0.248999
6501.410156	0.249158
6501.589844	0.249317
6501.770020	0.249478
6501.950195	0.249641
6502.129883	0.249804
6502.310059	0.249970
6502.490234	0.250136
6502.669922	0.250304
6502.850098	0.250474
6503.029785	0.250645
6503.209961	0.250819
6503.390137	0.250993
6503.569824	0.251169
6503.750000	0.251347
6503.930176	0.251526
6504.109863	0.251707
6504.290039	0.251890
6504.470215	0.252074
6504.649902	0.252260
6504.830078	0.252448
6505.009766	0.252637
6505.189941	0.252829
6505.370117	0.253022
6505.549805	0.253217
6505.729980	0.253414
6505.910156	0.253613
6506.089844	0.253813
6506.270020	0.254016
6506.450195	0.254221
6506.629883	0.254427
6506.810059	0.254636
6506.990234	0.254846
6507.169922	0.255058
6507.350098	0.255273
6507.529785	0.255490
6507.709961	0.255709
6507.890137	0.255930
6508.069824	0.256153
6508.250000	0.256378
6508.430176	0.256606
6508.609863	0.256836
6508.790039	0.257068
6508.970215	0.257303
6509.149902	0.257540
6509.330078	0.257779
6509.509766	0.258021
6509.689941	0.258265
6509.870117	0.258512
6510.049805	0.258761
6510.229980	0.259013
6510.410156	0.259268
6510.589844	0.259524
6510.770020	0.259784
6510.950195	0.260047
6511.129883	0.260312
6511.310059	0.260580
6511.490234	0.260851
6511.669922	0.261125
6511.850098	0.261402
6512.029785	0.261681
6512.209961	0.261964
6512.390137	0.262249
6512.569824	0.262538
6512.750000	0.262830
6512.930176	0.263125
6513.109863	0.263423
6513.290039	0.263724
6513.470215	0.264029
6513.649902	0.264337
6513.830078	0.264649
6514.009766	0.264963
6514.189941	0.265282
6514.370117	0.265604
6514.549805	0.265930
6514.729980	0.266259
6514.910156	0.266593
6515.089844	0.266929
6515.270020	0.267270
6515.450195	0.267615
6515.629883	0.267963
6515.810059	0.268315
6515.990234	0.268672
6516.169922	0.269032
6516.350098	0.269398
6516.529785	0.269766
6516.709961	0.270140
6516.890137	0.270518
